POSTCODE,LON,LAT
01153,-46.651374,-23.532853
01154,-46.6560993,-23.5290967
01155,-46.6613901,-23.5318829
01156,-46.6638328,-23.530494
01169,-45.4498076,-23.7006222
01170,-46.4717925,-24.01287835
01200,-47.635345,-22.7490183
01201,-46.646021,-23.5376147
01202,-46.645674,-23.536773
01203,-46.6442494,-23.5371985
01204,-46.641061,-23.5398809
01205,-46.6403651,-23.539405
01206,-46.6419087,-23.5369453
01207,-46.6389939,-23.5385527
01208,-46.6388145,-23.5372365
01209,-46.6428592,-23.541628
01210,-46.6418645,-23.5396125
01211,-46.6481285,-23.537803
01212,-46.6415645,-23.5384915
01213,-46.6409723,-23.5370344
01214,-46.6435415,-23.5372515
01215,-46.646569,-23.535012
01216,-46.646813,-23.5330547
01217,-46.64437,-23.530365
01218,-46.6417508,-23.5320999
01219,-46.644913,-23.5422126
01220,-46.6453909,-23.5425609
01221,-46.6479445,-23.545799
01222,-46.647128,-23.5453796
01223,-46.648345,-23.5437504
01224,-46.6514975,-23.5416186
01225,-46.6498494,-23.5398976
01226,-46.6537326,-23.5407385
01227,-46.6539852,-23.5361691
01228,-46.6547683,-23.538413
01229,-46.6562286,-23.5380036
01230,-46.656211,-23.535151
01231,-46.657333,-23.539306
01232,-46.652904,-23.5376015
01233,-46.6614495,-23.5350385
01234,-46.6639685,-23.5384103
01235,-46.6632977,-23.5348169
01236,-46.6668045,-23.5412737
01237,-46.6697438,-23.544366
01238,-46.6577695,-23.5429205
01239,-46.6532468,-23.5466346
01240,-46.6549,-23.544741
01241,-46.6567521,-23.5456561
01242,-46.6573017,-23.5467561
01243,-46.6578405,-23.5478501
01244,-46.6601749,-23.5462453
01245,-46.6635368,-23.5509341
01246,-46.6664608,-23.5557498
01247,-46.6665541,-23.5513595
01248,-46.6681683,-23.5475026
01249,-46.6698667,-23.5479319
01250,-45.2060425,-22.74359335
01251,-46.6732049,-23.5464455
01252,-46.6775206,-23.5416531
01253,-46.6778541,-23.5461378
01254,-46.6820673,-23.5414536
01255,-46.6819792,-23.5454828
01256,-46.6840431,-23.5482254
01257,-46.6876954,-23.5427566
01258,-46.6847004,-23.5437777
01259,-46.6847055,-23.5416136
01260,-45.09321835,-22.7308625
01262,-46.6768557,-23.5460641
01265,-46.8176483,-23.42048
01266,-48.03276,-16.44749
01270,-45.0626675,-22.56737585
01271,-47.0173577,-22.9542184
01285,-45.7362574,-23.1854061
01290,-46.5502667,-22.89489
01292,-46.529205000000005,-22.83128585
01294,-46.6129633,-23.0426183
01298,-46.6387387,-23.5401098
01300,-46.9176667,-23.12323
01301,-46.6497101,-23.5482748
01302,-46.646567,-23.546405
01303,-46.6485065,-23.5492975
01304,-46.651042,-23.5515245
01305,-46.6487367,-23.5508533
01306,-46.6491951,-23.5528187
01307,-46.651554,-23.5528472
01308,-46.6532734,-23.5564834
01309,-46.6583562,-23.5573663
01310,-46.6480678,-23.5681931
01311,-46.6481564,-23.5683963
01312,-46.6442704,-23.5505332
01313,-46.6444663,-23.5507308
01314,-46.6441755,-23.551453
01315,-46.6405909,-23.5531182
01316,-46.6391283,-23.5530506
01317,-46.6385613,-23.554122
01318,-46.639092,-23.554926
01319,-46.638683,-23.5520361
01320,-46.639479,-23.5578975
01321,-46.6431431,-23.5668609
01322,-46.6434261,-23.5612289
01323,-46.6413338,-23.5646007
01324,-46.64265,-23.558499
01325,-46.6446685,-23.55496
01326,-46.6432103,-23.5526941
01327,-46.6465112,-23.5566529
01328,-46.645925,-23.557728
01329,-46.6467565,-23.56219
01330,-46.6496217,-23.5581756
01331,-46.651181,-23.5624055
01332,-46.6526141,-23.5592566
01333,-46.65126015,-23.56389735
01338,-46.6439435,-23.5576265
01340,-47.64907085,-22.65969
01345,-47.4671483,-22.7411967
01348,-47.3891575,-22.6232683
01350,-47.5394175,-22.41312665
01356,-47.8054583,-21.9108167
01357,-47.7886725,-21.76641085
01360,-47.25919915,-22.35305835
01361,-47.23331,-22.159675
01363,-47.4664183,-22.0406383
01373,-47.06979,-21.4562167
01375,-46.79650835,-21.4081292
01380,-46.9972333,-22.4031217
01384,-46.92769415,-22.294840800000003
01385,-47.22193,-22.260985
01390,-46.75071665,-22.7518667
01397,-46.7799017,-22.44589
01400,-48.7737217,-24.0286317
01401,-46.6522907,-23.5709933
01402,-46.6542812,-23.5718839
01403,-46.6494274,-23.5646874
01404,-46.652744,-23.5653995
01405,-46.6518863,-23.5616126
01406,-46.659856,-23.5678075
01407,-46.6597016,-23.5679536
01408,-46.662146,-23.568149
01409,-46.6557038,-23.5590385
01410,-46.661157,-23.5622436
01411,-46.6634383,-23.5630132
01412,-46.663424,-23.5611792
01413,-46.6624436,-23.5603455
01414,-46.6594451,-23.5558143
01415,-46.6578113,-23.5530305
01416,-46.6682872,-23.5607141
01417,-46.6713538,-23.5618353
01418,-46.6477915,-23.570262
01419,-46.6495349,-23.5689161
01420,-46.6533175,-23.5673189
01421,-46.656985,-23.5660205
01422,-46.657679,-23.566781
01423,-46.6572069,-23.5687155
01424,-46.6575424,-23.5716616
01425,-46.659391,-23.571664
01426,-46.6674946,-23.5651481
01427,-46.660172,-23.574303
01428,-46.6625325,-23.5745205
01429,-46.6638153,-23.5756532
01430,-46.6648365,-23.5759265
01431,-46.6649935,-23.5760706
01432,-46.6667859,-23.5779915
01433,-46.6705467,-23.577616
01434,-46.6691137,-23.5782518
01435,-46.6708545,-23.578366
01436,-46.66801825,-23.57294965
01437,-46.67098315,-23.56949415
01438,-46.670258,-23.5678335
01439,-46.6746955,-23.5687017
01440,-46.6783274,-23.566595
01441,-46.6791546,-23.5687558
01442,-46.6771225,-23.566111
01443,-46.6818979,-23.5674832
01444,-46.68563,-23.5713103
01445,-46.687388,-23.5710239
01446,-46.677196,-23.5770634
01447,-46.6788162,-23.571811
01448,-46.6831945,-23.581316
01449,-46.6791445,-23.576249
01450,-46.6833895,-23.5787228
01451,-46.6851036,-23.5805115
01452,-46.685827,-23.5786565
01453,-46.685146,-23.585012
01454,-46.6876164,-23.584293
01455,-46.6923799,-23.5816772
01456,-46.6939839,-23.5761509
01457,-46.6913673,-23.5740382
01467,-46.6472537,-23.6947534
01470,-48.8060033,-24.03525
01478,-48.717575,-20.5628183
01480,-47.3333475,-22.549665
01481,-48.166108,-21.7855635
01488,-48.25527915,-21.17486665
